logId,dateOfSleep,startTime,endTime,duration
41862878874,2023-06-28,2023-06-27T22:30:30.000,2023-06-28T06:43:30.000,29580000
41853702983,2023-06-27,2023-06-27T12:12:30.000,2023-06-27T15:10:30.000,10680000
41853130927,2023-06-27,2023-06-26T22:35:00.000,2023-06-27T09:47:30.000,40320000
41836370833,2023-06-26,2023-06-25T23:56:00.000,2023-06-26T06:40:30.000,24240000
41825159192,2023-06-25,2023-06-24T23:47:00.000,2023-06-25T10:38:30.000,39060000
41817590651,2023-06-24,2023-06-24T08:11:30.000,2023-06-24T10:03:30.000,6720000
41814470988,2023-06-24,2023-06-24T00:14:00.000,2023-06-24T07:03:00.000,24540000
41806772696,2023-06-23,2023-06-22T23:39:00.000,2023-06-23T10:01:00.000,37320000
41793563659,2023-06-22,2023-06-21T23:44:00.000,2023-06-22T10:42:30.000,39480000
41784481396,2023-06-21,2023-06-20T23:47:00.000,2023-06-21T10:01:30.000,36840000
41772409610,2023-06-20,2023-06-19T23:54:30.000,2023-06-20T10:08:00.000,36780000
41758976373,2023-06-19,2023-06-18T23:59:00.000,2023-06-19T10:20:30.000,37260000
41746388268,2023-06-18,2023-06-17T21:47:30.000,2023-06-18T09:53:30.000,43560000
42452581711,2023-08-17,2023-08-16T22:12:30.000,2023-08-17T07:52:30.000,34800000
42439924521,2023-08-16,2023-08-15T23:11:00.000,2023-08-16T07:59:00.000,31680000
42426918512,2023-08-15,2023-08-14T22:44:00.000,2023-08-15T07:53:30.000,32940000
42413930326,2023-08-14,2023-08-13T23:37:00.000,2023-08-14T08:01:00.000,30240000
42407125058,2023-08-13,2023-08-13T17:24:30.000,2023-08-13T19:30:30.000,7560000
42403845838,2023-08-13,2023-08-12T22:42:00.000,2023-08-13T09:41:30.000,39540000
42393514988,2023-08-12,2023-08-11T23:46:00.000,2023-08-12T11:13:00.000,41220000
42381099595,2023-08-11,2023-08-10T22:54:00.000,2023-08-11T07:37:00.000,31380000
42367260542,2023-08-10,2023-08-09T23:07:30.000,2023-08-10T07:30:30.000,30180000
42353540309,2023-08-09,2023-08-08T22:52:30.000,2023-08-09T07:06:30.000,29640000
42342075815,2023-08-08,2023-08-07T23:03:30.000,2023-08-08T07:31:00.000,30420000
42332114663,2023-08-07,2023-08-06T22:53:30.000,2023-08-07T07:10:00.000,29760000
42320049804,2023-08-06,2023-08-06T00:08:30.000,2023-08-06T12:29:30.000,44460000
42310295336,2023-08-05,2023-08-04T23:10:30.000,2023-08-05T10:00:00.000,38940000
42298151651,2023-08-04,2023-08-03T23:19:00.000,2023-08-04T07:45:30.000,30360000
42286712568,2023-08-03,2023-08-02T21:53:00.000,2023-08-03T06:00:00.000,29220000
42274681478,2023-08-02,2023-08-01T23:04:00.000,2023-08-02T06:06:30.000,25320000
42264862523,2023-08-01,2023-07-31T21:55:00.000,2023-08-01T06:01:00.000,29160000
42250042333,2023-07-31,2023-07-30T22:22:00.000,2023-07-31T06:02:00.000,27600000
42241311996,2023-07-30,2023-07-29T23:37:00.000,2023-07-30T09:29:30.000,35520000
42228208290,2023-07-29,2023-07-28T23:28:30.000,2023-07-29T07:02:30.000,27240000
42216842153,2023-07-28,2023-07-27T23:08:00.000,2023-07-28T07:25:30.000,29820000
42206173699,2023-07-27,2023-07-26T22:23:00.000,2023-07-27T07:12:30.000,31740000
42195904221,2023-07-26,2023-07-26T04:18:00.000,2023-07-26T08:51:30.000,16380000
42190536088,2023-07-26,2023-07-25T23:26:00.000,2023-07-26T02:27:30.000,10860000
42179565070,2023-07-25,2023-07-24T22:51:30.000,2023-07-25T06:02:30.000,25860000
42168627625,2023-07-24,2023-07-23T23:14:30.000,2023-07-24T07:26:00.000,29460000
42158394642,2023-07-23,2023-07-22T21:10:30.000,2023-07-23T07:30:30.000,37200000
42149894258,2023-07-22,2023-07-22T13:13:30.000,2023-07-22T14:31:00.000,4620000
42146019618,2023-07-22,2023-07-21T23:22:30.000,2023-07-22T07:43:30.000,30060000
42136097602,2023-07-21,2023-07-20T23:02:00.000,2023-07-21T07:54:00.000,31920000
42126152521,2023-07-20,2023-07-19T22:09:00.000,2023-07-20T07:21:30.000,33120000
42111102926,2023-07-19,2023-07-18T23:29:00.000,2023-07-19T08:14:30.000,31500000
42102662290,2023-07-18,2023-07-17T22:41:00.000,2023-07-18T08:23:00.000,34920000
42795250767,2023-09-16,2023-09-15T22:59:00.000,2023-09-16T08:38:30.000,34740000
42784776007,2023-09-15,2023-09-14T22:49:00.000,2023-09-15T09:21:30.000,37920000
42773152401,2023-09-14,2023-09-13T22:24:30.000,2023-09-14T08:18:00.000,35580000
42765596758,2023-09-13,2023-09-13T17:31:00.000,2023-09-13T18:34:30.000,3780000
42760721823,2023-09-13,2023-09-12T23:22:00.000,2023-09-13T07:56:00.000,30840000
42749446396,2023-09-12,2023-09-11T22:29:00.000,2023-09-12T06:31:30.000,28920000
42736335097,2023-09-11,2023-09-10T23:17:00.000,2023-09-11T07:45:00.000,30480000
42727260024,2023-09-10,2023-09-09T23:31:00.000,2023-09-10T10:40:30.000,40140000
42716079009,2023-09-09,2023-09-08T23:21:00.000,2023-09-09T08:34:30.000,33180000
42704492721,2023-09-08,2023-09-07T23:30:30.000,2023-09-08T07:53:00.000,30120000
42690961140,2023-09-07,2023-09-06T22:25:30.000,2023-09-07T07:51:00.000,33900000
42679594668,2023-09-06,2023-09-05T22:47:30.000,2023-09-06T07:59:30.000,33120000
42667640347,2023-09-05,2023-09-04T22:36:00.000,2023-09-05T07:52:00.000,33360000
42658539028,2023-09-04,2023-09-03T23:35:00.000,2023-09-04T10:00:30.000,37500000
42644554782,2023-09-03,2023-09-02T23:01:00.000,2023-09-03T08:25:00.000,33840000
42635480130,2023-09-02,2023-09-01T22:31:00.000,2023-09-02T09:53:30.000,40920000
42625469745,2023-09-01,2023-08-31T22:47:30.000,2023-09-01T07:58:30.000,33060000
42613770652,2023-08-31,2023-08-30T21:59:00.000,2023-08-31T07:55:30.000,35760000
42602104691,2023-08-30,2023-08-29T23:02:00.000,2023-08-30T07:58:00.000,32160000
42589069518,2023-08-29,2023-08-28T22:20:30.000,2023-08-29T07:21:30.000,32460000
